Sales Representative,Location,Region,Customer,Order Date,Product,Quantity,Price,Total Sale Amount
Sara Snyder,New York,East,Shirley Morrison,42700,Acco Hot Clips Clips to Go,3,17.83,53.49
Patrick Graham,California,West,Howard Nelson,42700,Jabra Supreme Plus Driver Edition Headset,6,12.42,74.52
Patrick Graham,Washington,West,Emily Matthews,42700,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",2,17.83,35.66
Sara Snyder,New York,East,Jerry Pierce,42700,O'Sullivan 5-Shelf Heavy-Duty Bookcases,8,12.42,99.36
Sara Snyder,Massachusetts,East,Raymond Young,42700,Fellowes Black Plastic Comb Bindings,10,17.83,178.3
Sara Snyder,New York,East,Annie Wilson,42700,Revere Boxed Rubber Bands by Revere,10,12.42,124.2
Sara Snyder,New York,East,Alan Allen,11/27/2016,Panasonic KX TS208W Corded phone,6,12.42,74.52
Patrick Graham,California,West,Adam Garza,11/27/2016,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",10,16.32,163.2
Sara Snyder,Massachusetts,East,Roy Franklin,11/27/2016,"Computer Room Manger, 14""",3,12.42,37.26
Randy Watson,New York,East,Todd Holmes,11/27/2016,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,5,53.35,266.75
Randy Watson,New York,East,Raymond Collins,11/27/2016,Global Low Back Tilter Chair,2,12.42,24.84
Patrick Graham,Washington,West,Charles Collins,11/27/2016,Xerox 1888,5,12.42,62.1
Sara Snyder,New York,East,Roy Collins,11/27/2016,Xerox 1954,10,12.42,124.2
Sara Snyder,New York,East,Daniel Morris,11/27/2016,GBC Plastic Binding Combs,3,16.32,48.96
Frances Warren,New Jersey,East,Dorothy Baker,11/27/2016,Hon Valutask Swivel Chairs,9,53.35,480.15
Sara Snyder,New Jersey,East,Maria Hughes,11/27/2016,Harbour Creations 67200 Series Stacking Chairs,5,53.35,266.75
Patrick Graham,California,West,Joan Robinson,11/27/2016,"Global Value Steno Chair, Gray",8,12.42,99.36
Randy Watson,Massachusetts,East,Gary Young,11/27/2016,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",6,12.42,74.52
Sara Snyder,New York,East,Frank Owens,11/27/2016,Newell 348,6,53.35,320.1
Diane Gonzalez,Washington,West,Susan Gomez,11/27/2016,Safco Commercial Shelving,1,17.83,17.83
Sara Snyder,New York,East,Eric Stanley,42701,Xerox 1927,7,12.42,86.94
Frances Warren,Massachusetts,East,Alice Kelly,42701,Telescoping Adjustable Floor Lamp,7,12.42,86.94
Sara Snyder,New York,East,Cheryl Riley,42701,Holmes HEPA Air Purifier,4,12.42,49.68
Randy Watson,New Jersey,East,Brian Ryan,42701,Acme Forged Steel Scissors with Black Enamel Handles,10,12.42,124.2
Sara Snyder,New Jersey,East,Jacqueline Wheeler,42701,Avery 519,8,53.35,426.8
Sara Snyder,New York,East,Lois Castillo,42701,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,3,17.83,53.49
Sara Snyder,Massachusetts,East,Jean Fowler,42701,GBC DocuBind TL200 Manual Binding Machine,10,53.35,533.5
Randy Watson,Connecticut,East,Carlos Stephens,42701,"Trav-L-File Heavy-Duty Shuttle II, Black",7,12.42,86.94
Patrick Graham,Oregon,West,Ruby Taylor,42701,Newell 328,3,12.42,37.26
Randy Watson,Connecticut,East,Raymond Clark,11/28/2016,Enermax Briskie RF Wireless Keyboard and Mouse Combo,4,17.83,71.32
Patrick Graham,Oregon,West,Alan Cole,11/28/2016,Avery Round Ring Poly Binders,9,53.35,480.15
Sara Snyder,Connecticut,East,Lois Baker,11/28/2016,Xerox 224,1,12.42,12.42
Sara Snyder,New Jersey,East,Eric Ellis,11/28/2016,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",8,53.35,426.8
Sara Snyder,New York,East,Randy Clark,11/28/2016,Aastra 6757i CT Wireless VoIP phone,3,12.42,37.26
Patrick Graham,Oregon,West,Kelly Gomez,11/28/2016,VTech DS6151,8,53.35,426.8
Patrick Graham,California,West,Joan Robinson,11/28/2016,"Bevis Oval Conference Table, Walnut",2,17.83,35.66
Patrick Graham,California,West,Gerald Mcdonald,11/28/2016,Rogers Handheld Barrel Pencil Sharpener,4,12.42,49.68
Frances Warren,New Jersey,East,Joseph Foster,11/28/2016,Xerox 1894,1,12.42,12.42
Sara Snyder,New Jersey,East,Victor Bell,11/28/2016,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1,17.83,17.83
Frances Warren,Connecticut,East,Phyllis Grant,11/28/2016,Xerox 19,10,53.35,533.5
Sara Snyder,Massachusetts,East,Cheryl Williamson,11/28/2016,"Bevis Round Conference Table Top, X-Base",1,12.42,12.42
Randy Watson,Massachusetts,East,Louise Green,11/28/2016,Staples in misc. colors,3,17.83,53.49
Patrick Graham,Oregon,West,Samuel Garza,11/28/2016,Avery 493,6,53.35,320.1
Diane Gonzalez,California,West,Dennis Fields,11/28/2016,Ibico Standard Transparent Covers,7,12.42,86.94
Randy Watson,New York,East,Roy Collins,42702,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,7,53.35,373.45
Sara Snyder,Massachusetts,East,Roger Gomez,42702,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",9,17.83,160.47
Diane Gonzalez,California,West,Jimmy Warren,42702,"Sauder Camden County Collection Libraries, Planked Cherry Finish",2,12.42,24.84
Randy Watson,Massachusetts,East,Shirley Rivera,42702,Wilson Jones Legal Size Ring Binders,6,12.42,74.52
Sara Snyder,Massachusetts,East,Walter Kennedy,42702,SanDisk Cruzer 4 GB USB Flash Drive,10,16.32,163.2
Patrick Graham,Washington,West,Michelle Allen,42702,Xerox 1880,3,53.35,160.05
Sara Snyder,Massachusetts,East,George Stone,42702,Tops Wirebound Message Log Books,9,12.42,111.78
Sara Snyder,New York,East,Willie Hamilton,42702,Memorex Froggy Flash Drive 8 GB,4,17.83,71.32
Sara Snyder,New York,East,Wayne Rivera,11/29/2016,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,2,53.35,106.7
Patrick Graham,Oregon,West,Alice Brown,11/29/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10,53.35,533.5
Sara Snyder,New York,East,Jane Sims,11/29/2016,"ACCOHIDE 3-Ring Binder, Blue, 1""",5,12.42,62.1
Sara Snyder,Massachusetts,East,William Payne,11/29/2016,Recycled Easel Ring Binders,2,12.42,24.84
Diane Gonzalez,California,West,Adam Martin,11/29/2016,Lenovo 17-Key USB Numeric Keypad,5,17.83,89.15
Sara Snyder,New York,East,Marilyn Martin,11/29/2016,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",3,12.42,37.26
Sara Snyder,New York,East,Harold Daniels,11/29/2016,Hon 61000 Series Interactive Training Tables,10,16.32,163.2
Randy Watson,Connecticut,East,William Collins,11/29/2016,Avery 483,6,12.42,74.52
Sara Snyder,New Jersey,East,Robert Collins,11/29/2016,"Dixon Ticonderoga Maple Cedar Pencil, #2",7,53.35,373.45
Patrick Graham,Oregon,West,Sharon Rice,11/29/2016,Acme Forged Steel Scissors with Black Enamel Handles,7,53.35,373.45
Randy Watson,New York,East,Phyllis Johnston,11/29/2016,Advantus Map Pennant Flags and Round Head Tacks,1,16.32,16.32
Sara Snyder,Connecticut,East,Benjamin Phillips,11/29/2016,Recycled Steel Personal File for Standard File Folders,1,12.42,12.42
Sara Snyder,Massachusetts,East,Emily Anderson,11/29/2016,GBC ProClick Punch Binding System,10,12.42,124.2
Sara Snyder,Massachusetts,East,Brandon King,42703,Avery Hole Reinforcements,10,12.42,124.2
Frances Warren,New Jersey,East,Kimberly Coleman,42703,"Elite 5"" Scissors",7,12.42,86.94
Sara Snyder,New York,East,Wayne Lawson,42703,"Executive Impressions 10"" Spectator Wall Clock",3,53.35,160.05
Patrick Graham,Washington,West,Jennifer Adams,42703,Xerox 1898,3,12.42,37.26
Frances Warren,Connecticut,East,Katherine Carroll,42703,Okidata C331dn Printer,1,53.35,53.35
Randy Watson,Massachusetts,East,Phillip Young,11/30/2016,ARKON Windshield Dashboard Air Vent Car Mount Holder,7,12.42,86.94
Patrick Graham,Washington,West,Ruth Day,11/30/2016,Office Star - Mesh Screen back chair with Vinyl seat,5,17.83,89.15
Patrick Graham,Washington,West,Joseph Willis,11/30/2016,AmazonBasics 3-Button USB Wired Mouse,1,53.35,53.35
Sara Snyder,New Jersey,East,Harold Matthews,11/30/2016,GBC Instant Report Kit,6,16.32,97.92
Patrick Graham,California,West,Dennis Fields,11/30/2016,14-7/8 x 11 Blue Bar Computer Printout Paper,9,53.35,480.15
Diane Gonzalez,California,West,Dennis Fields,11/30/2016,Insertable Tab Indexes For Data Binders,8,53.35,426.8
Sara Snyder,New Jersey,East,Brian Ryan,42704,GBC Linen Binding Covers,6,12.42,74.52
Sara Snyder,New York,East,Steven Simpson,42704,Panasonic KX-TG9471B,9,53.35,480.15
Sara Snyder,New York,East,Louise Frazier,42704,Surelock Post Binders,3,53.35,160.05
Randy Watson,New Jersey,East,Anthony Ruiz,42704,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",9,16.32,146.88
Randy Watson,Massachusetts,East,William Payne,42704,Avery 487,1,16.32,16.32
Sara Snyder,Massachusetts,East,Ernest Kelley,12/1/2016,Acme Office Executive Series Stainless Steel Trimmers,5,12.42,62.1
Patrick Graham,Oregon,West,Billy Scott,12/1/2016,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",6,12.42,74.52
Sara Snyder,New York,East,Joe Ryan,12/1/2016,BIC Liqua Brite Liner,4,16.32,65.28
Sara Snyder,Massachusetts,East,Walter Meyer,12/1/2016,"BOSTON Ranger #55 Pencil Sharpener, Black",7,17.83,124.81
Patrick Graham,Washington,West,Arthur Green,12/1/2016,Maxell 4.7GB DVD-R,10,17.83,178.3
Diane Gonzalez,Washington,West,Annie Hunter,12/1/2016,Panasonic KX T7736-B Digital phone,5,12.42,62.1
Sara Snyder,Massachusetts,East,Phillip Young,12/1/2016,Things To Do Today Spiral Book,2,16.32,32.64
Frances Warren,New Jersey,East,Benjamin Spencer,12/1/2016,Cardinal Holdit Business Card Pockets,5,53.35,266.75
Randy Watson,New York,East,Edward Cooper,12/1/2016,Kleencut Forged Office Shears by Acme United Corporation,6,17.83,106.98
Sara Snyder,New York,East,Gerald Phillips,12/1/2016,Plantronics HL10 Handset Lifter,5,53.35,266.75
Patrick Graham,Oregon,West,Ruby Taylor,12/1/2016,Contemporary Wood/Metal Frame,10,12.42,124.2
Diane Gonzalez,Washington,West,Ruth Day,12/1/2016,Avery File Folder Labels,9,12.42,111.78
Patrick Graham,Washington,West,Maria Romero,12/1/2016,Toshiba IPT2010-SD IP Telephone,5,12.42,62.1
Patrick Graham,Nevada,West,Kimberly Bennett,12/1/2016,Newell 328,1,12.42,12.42
Sara Snyder,Connecticut,East,Nicholas Ward,12/1/2016,Staple-on labels,5,17.83,89.15
Diane Gonzalez,Washington,West,Beverly Garcia,12/1/2016,Acme Office Executive Series Stainless Steel Trimmers,10,53.35,533.5
Frances Warren,Connecticut,East,Raymond Clark,12/1/2016,Holmes Odor Grabber,6,12.42,74.52
Sara Snyder,New York,East,Judith Warren,12/1/2016,"Situations Contoured Folding Chairs, 4/Set",4,53.35,213.4
Sara Snyder,Massachusetts,East,Lillian Burke,12/1/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",2,53.35,106.7
Patrick Graham,California,West,Nicholas Nguyen,12/1/2016,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",8,53.35,426.8
Diane Gonzalez,Washington,West,Harry Hanson,12/1/2016,Acme Stainless Steel Office Snips,7,12.42,86.94
Sara Snyder,Massachusetts,East,Andrea King,12/1/2016,Xerox 1934,7,53.35,373.45
Sara Snyder,New York,East,Robert Hayes,12/1/2016,Newell 313,3,53.35,160.05
Frances Warren,New Jersey,East,Todd Miller,12/1/2016,"Bush Westfield Collection Bookcases, Dark Cherry Finish",1,53.35,53.35
Patrick Graham,California,West,Andrew Adams,12/1/2016,Newell 326,8,12.42,99.36
Frances Warren,Massachusetts,East,Harold Schmidt,12/1/2016,Logitech Keyboard K120,1,12.42,12.42
Sara Snyder,New York,East,Frances Campbell,12/1/2016,"Master Caster Door Stop, Large Neon Orange",8,12.42,99.36
Randy Watson,Massachusetts,East,Louise Rivera,12/1/2016,DAX Wood Document Frame,6,53.35,320.1
Diane Gonzalez,Washington,West,Ryan Ramos,12/1/2016,Bevis Rectangular Conference Tables,5,12.42,62.1
Frances Warren,New York,East,Roy Young,12/1/2016,Xerox 1932,10,17.83,178.3
Patrick Graham,California,West,Joan Robinson,12/1/2016,Avery Personal Creations Heavyweight Cards,9,12.42,111.78
Patrick Graham,California,West,Harry Torres,12/1/2016,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",1,53.35,53.35
Sara Snyder,Massachusetts,East,Jean Torres,12/1/2016,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",8,12.42,99.36
Patrick Graham,California,West,Harry Torres,12/2/2016,3-ring staple pack,1,17.83,17.83
Sara Snyder,New York,East,Janet Freeman,12/2/2016,GBC DocuBind P50 Personal Binding Machine,6,17.83,106.98
Sara Snyder,Connecticut,East,Jane Watkins,12/2/2016,Xerox 23,3,16.32,48.96
Patrick Graham,Washington,West,Jean Stephens,12/2/2016,"DAX Copper Panel Document Frame, 5 x 7 Size",5,16.32,81.6
Randy Watson,New York,East,Kimberly Little,12/2/2016,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",5,53.35,266.75
Sara Snyder,New York,East,Ashley Spencer,12/2/2016,Dixon Ticonderoga Pencils,7,53.35,373.45
Sara Snyder,New Jersey,East,Amy Olson,12/2/2016,Wilson Jones International Size A4 Ring Binders,9,16.32,146.88
Patrick Graham,California,West,Diane Lewis,12/2/2016,Avery Heavy-Duty EZD  Binder With Locking Rings,1,17.83,17.83
Patrick Graham,Oregon,West,Julie Gonzalez,12/2/2016,Cisco SPA508G,7,17.83,124.81
Sara Snyder,New York,East,Kimberly Morris,12/2/2016,Nu-Dell Executive Frame,2,16.32,32.64
Sara Snyder,Connecticut,East,Alan Dean,12/2/2016,Xerox 1887,8,16.32,130.56
Randy Watson,Massachusetts,East,Bobby Mitchell,12/2/2016,Xerox 1971,9,53.35,480.15
Sara Snyder,Massachusetts,East,Sean Carr,12/2/2016,"Personal Folder Holder, Ebony",7,17.83,124.81
Diane Gonzalez,Washington,West,Ruth Day,12/2/2016,Quality Park Security Envelopes,7,12.42,86.94
Patrick Graham,Washington,West,Ernest Hernandez,12/2/2016,Xerox 1917,5,12.42,62.1
Diane Gonzalez,Oregon,West,Julie Gonzalez,12/2/2016,Cisco SPA 502G IP Phone,7,53.35,373.45
Frances Warren,New Jersey,East,Ruth Fields,12/2/2016,Global Ergonomic Managers Chair,7,53.35,373.45
Patrick Graham,California,West,Adam Martin,12/2/2016,Sharp AL-1530CS Digital Copier,3,17.83,53.49
Diane Gonzalez,Oregon,West,Marilyn Graham,12/2/2016,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",9,12.42,111.78
Sara Snyder,Massachusetts,East,Jerry Smith,12/2/2016,Xerox 1920,4,53.35,213.4
Diane Gonzalez,California,West,Helen Diaz,12/2/2016,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",2,12.42,24.84
Diane Gonzalez,Washington,West,Kathy Schmidt,12/2/2016,Holmes 99% HEPA Air Purifier,4,12.42,49.68
Diane Gonzalez,California,West,Harold Duncan,12/2/2016,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,7,16.32,114.24
Patrick Graham,California,West,Frank Garrett,12/2/2016,Sensible Storage WireTech Storage Systems,6,17.83,106.98
Sara Snyder,New Jersey,East,Timothy Lawson,12/2/2016,Wilson Jones Impact Binders,6,53.35,320.1
Sara Snyder,New York,East,Roy Young,12/2/2016,Hoover Upright Vacuum With Dirt Cup,7,12.42,86.94
Randy Watson,New York,East,Katherine Mcdonald,12/3/2016,Razer Kraken PRO Over Ear PC and Music Headset,9,16.32,146.88
Frances Warren,Massachusetts,East,Ann Duncan,12/3/2016,GBC Standard Therm-A-Bind Covers,7,12.42,86.94
Frances Warren,Massachusetts,East,Juan Olson,12/3/2016,Texas Instrument TI-15 Fraction Calculator,5,53.35,266.75
Diane Gonzalez,California,West,Judy Lopez,12/3/2016,"Global Value Steno Chair, Gray",4,12.42,49.68
Sara Snyder,New York,East,Todd Holmes,12/3/2016,"Computer Room Manger, 14""",8,16.32,130.56
Patrick Graham,California,West,Mary Stevens,12/3/2016,Acco 3-Hole Punch,4,17.83,71.32
Frances Warren,New York,East,Jeffrey Miller,12/3/2016,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",2,53.35,106.7
Patrick Graham,California,West,Dennis Fields,12/3/2016,"OIC #2 Pencils, Medium Soft",3,53.35,160.05
Patrick Graham,Washington,West,Joseph Willis,12/3/2016,Binder Posts,10,12.42,124.2
Randy Watson,New Jersey,East,Chris George,12/3/2016,Belkin 8 Outlet Surge Protector,3,12.42,37.26
Diane Gonzalez,California,West,Andrew Adams,12/3/2016,Portable Personal File Box,9,12.42,111.78
Randy Watson,Connecticut,East,Cheryl Henderson,12/3/2016,X-Rack File for Hanging Folders,10,12.42,124.2
Sara Snyder,New York,East,Raymond Collins,12/3/2016,"ACCOHIDE 3-Ring Binder, Blue, 1""",7,12.42,86.94
Diane Gonzalez,California,West,Judy Lopez,12/3/2016,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",4,53.35,213.4
Diane Gonzalez,Washington,West,Jane Ramirez,12/3/2016,Xerox 1951,6,16.32,97.92
Randy Watson,New York,East,Cheryl Riley,12/3/2016,Avery Hole Reinforcements,6,12.42,74.52
Sara Snyder,New Jersey,East,Theresa Torres,12/3/2016,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",3,17.83,53.49
Frances Warren,Massachusetts,East,Gary Young,12/3/2016,Xerox 1924,10,12.42,124.2
Patrick Graham,Washington,West,Philip Dean,12/3/2016,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,4,12.42,49.68
Patrick Graham,California,West,Benjamin Carpenter,12/3/2016,9-3/4 Diameter Round Wall Clock,5,16.32,81.6
Randy Watson,New Jersey,East,Eric Ellis,12/3/2016,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",2,53.35,106.7
Frances Warren,New Jersey,East,Arthur Simmons,12/3/2016,Carina Media Storage Towers in Natural & Black,1,12.42,12.42
Randy Watson,New York,East,Jerry Pierce,12/3/2016,Rubber Band Ball,8,12.42,99.36
Frances Warren,New York,East,Janet Freeman,12/3/2016,Avery Non-Stick Binders,9,12.42,111.78
Sara Snyder,Massachusetts,East,Theresa Ellis,12/3/2016,Acco 3-Hole Punch,3,12.42,37.26
Randy Watson,Massachusetts,East,Janice Mason,12/3/2016,Plantronics 81402,3,12.42,37.26
Diane Gonzalez,California,West,Diana Hamilton,12/3/2016,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",5,53.35,266.75
Sara Snyder,New Jersey,East,Kathy Rice,12/4/2016,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",9,17.83,160.47
Sara Snyder,New York,East,Arthur Austin,12/4/2016,Prang Colored Pencils,5,17.83,89.15
Patrick Graham,Washington,West,Jason Jackson,12/4/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,16.32,48.96
Frances Warren,New Jersey,East,Kathy Rice,12/4/2016,"Hunt PowerHouse Electric Pencil Sharpener, Blue",6,53.35,320.1
Randy Watson,Connecticut,East,Ashley Olson,12/4/2016,Carina Double Wide Media Storage Towers in Natural & Black,10,53.35,533.5
Frances Warren,New Jersey,East,Donna Bryant,12/4/2016,"Eldon Image Series Desk Accessories, Burgundy",10,12.42,124.2
Patrick Graham,Oregon,West,Alan Cole,12/4/2016,Woodgrain Magazine Files by Perma,6,17.83,106.98
Patrick Graham,Oregon,West,Alice Brown,12/4/2016,Longer-Life Soft White Bulbs,8,12.42,99.36
Sara Snyder,New York,East,Jason Black,12/4/2016,Binding Machine Supplies,2,12.42,24.84
Patrick Graham,Oregon,West,Linda Wagner,12/4/2016,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",1,17.83,17.83
Patrick Graham,Oregon,West,Gloria Fisher,12/4/2016,"Deflect-o EconoMat Nonstudded, No Bevel Mat",10,17.83,178.3
Sara Snyder,Connecticut,East,Betty Hicks,12/4/2016,Newell 307,3,17.83,53.49
Sara Snyder,New York,East,Jason Black,12/4/2016,GBC DocuBind TL300 Electric Binding System,6,12.42,74.52
Randy Watson,Massachusetts,East,Ann Duncan,12/4/2016,Jawbone JAMBOX Wireless Bluetooth Speaker,1,12.42,12.42
Patrick Graham,Oregon,West,Jean Griffin,12/4/2016,Canvas Sectional Post Binders,10,12.42,124.2
Sara Snyder,Connecticut,East,Janice Ford,12/4/2016,Wilson Jones Century Plastic Molded Ring Binders,3,53.35,160.05
Sara Snyder,New York,East,Emily Patterson,12/4/2016,Mophie Juice Pack Helium for iPhone,8,12.42,99.36
Patrick Graham,Oregon,West,Kathy Lee,12/4/2016,Global Troy Executive Leather Low-Back Tilter,7,12.42,86.94
Patrick Graham,Washington,West,Emily Matthews,12/4/2016,GBC DocuBind P50 Personal Binding Machine,2,12.42,24.84
Sara Snyder,Massachusetts,East,William Payne,12/4/2016,Space Solutions HD Industrial Steel Shelving.,10,53.35,533.5
Patrick Graham,Oregon,West,Kevin Garza,12/4/2016,Avery File Folder Labels,10,12.42,124.2
Sara Snyder,Connecticut,East,Maria Long,12/4/2016,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,1,12.42,12.42
Sara Snyder,New York,East,Harold Daniels,12/4/2016,Xerox 1919,7,12.42,86.94
Frances Warren,New York,East,Joan Harvey,12/5/2016,OIC Thumb-Tacks,7,53.35,373.45
Frances Warren,New Jersey,East,Harold Matthews,12/5/2016,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,2,12.42,24.84
Sara Snyder,New York,East,Kenneth Fernandez,12/5/2016,Tennsco Commercial Shelving,5,12.42,62.1
Randy Watson,New Jersey,East,James Wheeler,12/5/2016,Storex Dura Pro Binders,8,53.35,426.8
Sara Snyder,New York,East,Irene Wells,12/5/2016,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,9,12.42,111.78
Randy Watson,Massachusetts,East,Eugene Hughes,12/5/2016,Advantus Rolling Drawer Organizers,6,12.42,74.52
Sara Snyder,New York,East,Albert Miller,12/5/2016,DIXON Oriole Pencils,8,16.32,130.56
Sara Snyder,Massachusetts,East,Carolyn Scott,12/5/2016,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",6,12.42,74.52
Patrick Graham,Washington,West,Jerry Davis,12/5/2016,Letter or Legal Size Expandable Poly String Tie Envelopes,8,17.83,142.64
Diane Gonzalez,Washington,West,Joan Austin,12/5/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",6,16.32,97.92
Frances Warren,New Jersey,East,Eugene Hayes,12/5/2016,Logitech diNovo Edge Keyboard,7,17.83,124.81
Randy Watson,New York,East,Joan Thompson,12/5/2016,Super Decoflex Portable Personal File,6,12.42,74.52
Sara Snyder,Massachusetts,East,Gregory Thompson,12/5/2016,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",1,12.42,12.42
Sara Snyder,New York,East,Randy Clark,12/5/2016,Newell 323,6,16.32,97.92
Diane Gonzalez,Oregon,West,Edward Taylor,12/5/2016,Xerox 1929,8,12.42,99.36
Randy Watson,New York,East,Frank Owens,12/5/2016,"Global Push Button Manager's Chair, Indigo",6,12.42,74.52
Sara Snyder,New Jersey,East,Dorothy Baker,12/5/2016,Kingston Digital DataTraveler 32GB USB 2.0,8,12.42,99.36
Diane Gonzalez,California,West,Adam Martin,12/5/2016,Tennsco Single-Tier Lockers,6,53.35,320.1
Diane Gonzalez,Washington,West,Phillip Mills,12/5/2016,"24 Capacity Maxi Data Binder Racks, Pearl",6,12.42,74.52
Patrick Graham,Oregon,West,Teresa Payne,12/5/2016,Newell 317,10,53.35,533.5
Patrick Graham,Oregon,West,Henry Day,12/5/2016,Computer Printout Paper with Letter-Trim Perforations,3,12.42,37.26
Frances Warren,New Jersey,East,Ruth Burton,12/5/2016,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",5,12.42,62.1
Diane Gonzalez,Oregon,West,Sharon Rice,12/5/2016,SAFCO Boltless Steel Shelving,8,17.83,142.64
Patrick Graham,California,West,Sandra Bowman,12/5/2016,Xerox 1911,9,17.83,160.47
Sara Snyder,New York,East,Anne Fisher,12/5/2016,Staple envelope,3,53.35,160.05
Randy Watson,Massachusetts,East,Frank Murphy,12/5/2016,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",2,16.32,32.64
Sara Snyder,New York,East,Randy Burton,12/5/2016,Global Italian Leather Office Chair,6,12.42,74.52
Randy Watson,Massachusetts,East,Sean Carr,12/5/2016,Xerox 1897,2,53.35,106.7
Sara Snyder,New York,East,Juan Wallace,12/5/2016,GBC Imprintable Covers,5,17.83,89.15
Patrick Graham,California,West,Tina Schmidt,12/5/2016,Iceberg Mobile Mega Data/Printer Cart ,10,12.42,124.2
Diane Gonzalez,Washington,West,Paula Ross,12/6/2016,Fiskars Spring-Action Scissors,1,17.83,17.83
Frances Warren,Massachusetts,East,Wanda Cole,12/6/2016,3M Organizer Strips,2,12.42,24.84
Patrick Graham,Oregon,West,Donald Ryan,12/6/2016,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",10,16.32,163.2
Patrick Graham,Washington,West,Joseph Willis,12/6/2016,Hon 4070 Series Pagoda Round Back Stacking Chairs,6,53.35,320.1
Diane Gonzalez,California,West,Laura Gutierrez,12/6/2016,Avery Metallic Poly Binders,10,12.42,124.2
Patrick Graham,Washington,West,Jean Stephens,12/6/2016,Fellowes Bankers Box Recycled Super Stor/Drawer,9,53.35,480.15
Diane Gonzalez,California,West,Judy Lopez,12/6/2016,Pressboard Hanging Data Binders for Unburst Sheets,9,12.42,111.78
Sara Snyder,New York,East,Albert Miller,12/6/2016,PNY Rapid USB Car Charger - Black,2,53.35,106.7
Randy Watson,Connecticut,East,Sara Hawkins,12/6/2016,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",7,12.42,86.94
Sara Snyder,Massachusetts,East,Matthew Smith,12/6/2016,Xerox 1931,7,53.35,373.45
Patrick Graham,Washington,West,Craig Reyes,12/6/2016,iHome FM Clock Radio with Lightning Dock,1,17.83,17.83
Frances Warren,New Jersey,East,Anthony Ruiz,12/6/2016,Ibico Presentation Index for Binding Systems,10,17.83,178.3
Diane Gonzalez,Washington,West,Jason Berry,12/6/2016,Avery Durable Slant Ring Binders With Label Holder,5,17.83,89.15
Sara Snyder,New York,East,Anne Fisher,12/6/2016,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9,12.42,111.78
Sara Snyder,Connecticut,East,Ryan Arnold,12/6/2016,Avery Hole Reinforcements,5,12.42,62.1
Sara Snyder,New Jersey,East,Kathy Rice,12/6/2016,Bulldog Vacuum Base Pencil Sharpener,5,12.42,62.1
Sara Snyder,Massachusetts,East,Justin Dixon,12/6/2016,Hon Every-Day Chair Series Swivel Task Chairs,6,53.35,320.1
Patrick Graham,Washington,West,Jennifer Adams,12/6/2016,"Bush Westfield Collection Bookcases, Medium Cherry Finish",4,12.42,49.68
